Found 12 records.
Date: 2025-10-15, Close: 103.19999694824219, Volume: 63534700
Date: 2025-10-16, Close: 102.05000305175781, Volume: 79672000
Date: 2025-10-17, Close: 103.98999786376953, Volume: 71137000
Date: 2025-10-20, Close: 107.88999938964844, Volume: 39964400
Date: 2025-10-21, Close: 107.7699966430664, Volume: 39905700
Date: 2025-10-22, Close: 104.5999984741211, Volume: 67190400
Date: 2025-10-23, Close: 53.61000061035156, Volume: 91245000
Date: 2025-10-24, Close: 55.279998779296875, Volume: 84387600
Date: 2025-10-27, Close: 58.21500015258789, Volume: 77489400
Date: 2025-10-28, Close: 59.54499816894531, Volume: 92239400
Date: 2025-10-29, Close: 60.30500030517578, Volume: 133060800
Date: 2025-10-30, Close: 57.54499816894531, Volume: 127234200
